symbol,name,exchange,category,price,crawled_date
VCI,Công ty Cổ phần Chứng khoán VIETCAP,HOSE,Tài chính,36.3,2025-04-11
VCM,Công ty cổ phần BV Life,HNX,Dịch vụ,7.1,2025-04-11
VCP,Công ty Cổ phần Xây dựng và Năng lượng VCP,HOSE,Năng lượng,25.8,2025-04-11
VCR,Công ty Cổ phần Đầu tư và Phát triển Du lịch Vinaconex,HOSE,Bất động sản và Xây dựng,34.0,2025-04-11
VCS,Công ty cổ phần VICOSTONE,HNX,Bất động sản và Xây dựng,46.5,2025-04-11
VCT,Công ty Cổ phần Tư vấn Xây dựng Vinaconex,HOSE,Dịch vụ,8.6,2025-04-11
VCW,Công ty Cổ phần Đầu tư Nước sạch Sông Đà,HOSE,Dịch vụ,32.0,2025-04-11
VCX,Công ty Cổ phần Xi măng Yên Bình,HOSE,Bất động sản và Xây dựng,10.0,2025-04-11
VDB,Công ty cổ phần Vận tải và Chế biến Than Đông Bắc,HOSE,Năng lượng,0.9,2025-04-11
VDG,Công ty cổ phần Vạn Đạt Group,HOSE,,16.0,2025-04-11
VDL,Công ty Cổ phần Thực phẩm Lâm Đồng,HNX,Hàng tiêu dùng,12.0,2025-04-11
VDN,Công ty Cổ phần Vinatex Đà Nẵng,HOSE,Hàng tiêu dùng,17.0,2025-04-11
VDP,Công ty Cổ phần Dược phẩm Trung ương VIDIPHA,HOSE,Y tế,36.0,2025-04-11
VDS,Công ty Cổ phần Chứng khoán Rồng Việt,HOSE,Tài chính,15.5,2025-04-11
VDT,Công ty cổ phần Lưới thép Bình Tây,HOSE,Nguyên vật liệu,18.7,2025-04-11
VE1,Công ty Cổ phần Xây dựng điện VNECO 1,HNX,Bất động sản và Xây dựng,3.2,2025-04-11
VE2,Công ty cổ phần Xây dựng điện VNECO 2,HOSE,Bất động sản và Xây dựng,10.0,2025-04-11
VE3,Công ty cổ phần Xây dựng điện VNECO 3,HNX,Bất động sản và Xây dựng,10.0,2025-04-11
VE4,Công ty Cổ phần Xây dựng điện VNECO4,HNX,Bất động sản và Xây dựng,259.4,2025-04-11
VE8,Công ty cổ phần Xây dựng điện VNECO 8,HNX,Bất động sản và Xây dựng,3.6,2025-04-11
VE9,Công ty Cổ phần Đầu tư và Xây dựng VNECO 9,HOSE,Bất động sản và Xây dựng,1.8,2025-04-11
VEA,Tổng Công ty Máy động lực và máy nông nghiệp Việt Nam - CTCP,HOSE,Nông nghiệp,39.2,2025-04-11
VEC,Tổng Công ty cổ phần Điện tử và Tin học Việt Nam,HOSE,Công nghệ,8.3,2025-04-11
VED,Công ty cổ phần Phát triển Thể thao Điện tử Việt Nam,UPCOM,Công nghệ,0.0,2025-04-11
VEF,Công ty cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,HOSE,Dịch vụ,178.0,2025-04-11
VES,Công ty Cổ phần Đầu tư và Xây dựng điện Mê Ca Vneco,HOSE,Bất động sản và Xây dựng,7.0,2025-04-11
VET,Công ty Cổ phần Thuốc thú y Trung ương Navetco,HOSE,Nông nghiệp,16.0,2025-04-11
VFC,Công ty Cổ phần VINAFCO ,HOSE,Công nghiệp,88.5,2025-04-11
VFG,Công ty Cổ phần Khử trùng Việt Nam,HOSE,Nông nghiệp,66.9,2025-04-11
VFM,Công ty Cổ phần Quản lý quỹ Đầu tư Việt Nam,UPCOM,,0.0,2025-04-11
VFR,Công ty Cổ phần Vận tải và Thuê tàu,HOSE,Công nghiệp,12.0,2025-04-11
VFS,Công ty Cổ phần Chứng khoán Nhất Việt,HNX,Tài chính,18.2,2025-04-11
VFW,Công ty Cổ phần Quản lý quỹ Lộc Việt,UPCOM,,0.0,2025-04-11
VGC,Tổng Công ty Viglacera - CTCP,HOSE,Bất động sản và Xây dựng,38.3,2025-04-11
VGG,Tổng Công ty cổ phần May Việt Tiến,HOSE,Hàng tiêu dùng,38.0,2025-04-11
VGI,Tổng Công ty cổ phần Đầu tư Quốc tế Viettel,HOSE,Viễn thông,68.3,2025-04-11
