,0
DLG,2
DLT,0
DM7,0
DMC,1
DMN,0
DMS,0
DNA,0
DNC,0
DND,1
DNE,0
DNH,1
DNL,0
DNM,2
DNN,1
DNV,1
DNW,1
DOC,0
DOP,1
DP1,0
DP2,2
DP3,1
DPH,1
DPP,0
DPR,1
DQC,1
DRC,0
DRG,1
DRH,2
DRI,1
DRL,1
DS3,1
DSD,2
DSG,2
DSN,1
DSP,1
DST,1
DTA,2
DTB,0
DTD,1
DTE,1
DTH,0
DTI,0
DTK,2
DTL,0
DTP,1
DTS,1
DTT,0
DUS,0
DVC,1
DVG,1
DVM,0
DVN,0
DVP,1
DVW,1
DWC,1
DWS,2
DXG,1
DXL,1
DXV,0
DZM,2
E12,2
E29,0
EBS,1
ECI,1
EIC,1
EID,0
EIN,2
ELC,1
EME,1
EMG,1
EMS,0
EPC,1
EPH,0
EVE,1
EVG,1
FBC,0
FCC,1
FCM,1
FCN,2
FCS,2
FDC,1
FGL,2
FHN,0
FHS,0
FIC,1
FID,1
FIS,0
FMC,0
FOC,1
FOX,2
FPT,2
FRC,0
FRM,1
FRT,0
FSO,1
FT1,0
FTI,1
FTS,1
G36,2
GAS,0
GCB,0
GCF,1
GDA,0
GDC,0
GDT,1
GEE,0
GEG,2
GER,0
GH3,0
GHC,1
GIC,1
GIL,1
GKM,1
GLC,2
GLT,1
GLW,1
GMA,0
GMC,1
GMD,1
GMH,1
GMX,0
GND,1
GPC,1
GSC,2
GSM,1
GSP,0
GTA,0
GTD,2
GTS,0
GVT,0
H11,2
HAC,1
HAD,0
HAF,1
HAG,2
HAH,1
HAM,0
HAN,2
HAR,1
HAS,1
HAT,0
HAV,2
HAX,0
HBC,2
HBH,0
HBS,1
HC1,2
HC3,1
HCB,0
HCC,0
HCD,0
HCI,2
HCM,2
HCT,0
HD2,2
HD6,2
HD8,1
HDA,1
HDC,2
HDG,2
HDM,0
HDP,0
HDW,2
HEC,1
HEJ,2
HEP,1
HES,1
HEV,0
HFB,0
HFC,0
HFX,2
HGM,1
HGT,1
HHC,0
HHG,2
HHN,1
HID,1
HIG,1
HII,0
HJC,0
HJS,1
HKB,2
HKT,0
HLB,0
HLC,0
HLD,1
HLS,1
HLT,0
