cluster,roa,roe,gross_margin,net_profit_margin,revenue_growth,net_income,gross_profit,debt_ratio,current_ratio,revenue
0,-0.4439264717174751,-0.3734145461538979,-0.3296977120419125,-0.4656314839024358,-0.42639851763526154,-0.4500158499414157,-0.28982786937912874,0.14963246982592254,1.6008574464822007,1.007821557364431
1,-0.43579092250146517,-0.40924480348997444,-0.22591198814725413,-0.34286896885085527,-0.3976106537784307,-0.3884512444832649,-0.29846492838258015,-0.15514245414871702,1.6127752047796586,0.13478880473435004
2,-0.4602816712055082,-0.4199987197843285,-0.1925576247993095,-0.5234784583758305,-0.35002093433129927,-0.4697070772389133,-0.3598859714653297,0.823542775056164,0.9348867305057162,0.34381079410450743
