,current_assets,current_liabilities,equity,financial_profit,net_income,other_profit,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,net_profit_margin,revenue_growth,gross_profit,gross_margin,net_income_growth,total_equity
2020-01-01,1808556540.0,178585500.0,2096628990.0,1247880.0,96793290.0,505410.0,224796380.0,2286420540.0,189791550.0,0.04233398375611164,0.0461661507408614,0.08300815474654545,10.127118607053765,0.4305820672023277,0.0,0.0,0.0,0.0,2096628990.0
2021-01-01,2671956880.0,273105880.0,2456851560.0,1502190.0,390130200.0,164405740.0,394171750.0,2739269210.0,282417660.0,0.1424212700875793,0.158792744315382,0.10309963656328616,9.78359338143873,0.9897467284248554,0.7534612879442275,0.0,0.0,3.0305500515583264,2456851550.0
2022-01-01,2659104970.0,300552400.0,2497221370.0,1335800.0,146342780.0,16858350.0,367374470.0,2805191290.0,307969920.0,0.05216855639103314,0.05860224558305778,0.10978571090601098,8.847392235097773,0.39834771316580597,-0.06798376595988931,0.0,0.0,-0.6248873324854113,2497221370.0
2023-01-01,2835593029.0,559443632.0,2494739109.0,-12816642.0,146309079.0,20412.0,361377046.0,3062598169.0,567859060.0,0.047772861774998336,0.058647045886352035,0.18541742294106361,5.06859470160168,0.4048654462685491,-0.01632509738632626,0.0,0.0,-0.00023028809484149093,2494739109.0
