,cost_of_goods_sold,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2022-01-01,932795222.0,445419479.0,305627840.0,335934571.0,-10206275.0,100298900.0,14959333.0,247419.0,18993204.0,1033094122.0,641562410.0,305627840.0,0.023317034737119338,0.04453049592365561,0.47638052859113117,1.4573917055461962,0.0970859265038002,0.014480125945387966,0.0,0.0,335934570.0
2023-01-01,580549418.0,239356462.0,174752762.0,287158441.0,-1841494.0,-13503385.0,-48776129.0,4516712.0,-44975132.0,567046034.0,461911204.0,174752762.0,-0.10559633232018334,-0.1698578967774174,0.37832544542478774,1.3696862885634964,-0.02381356043484822,-0.08601793518584067,-0.45111871036277174,-4.260581805351883,287158442.0
2024-01-01,401792524.0,420039890.0,185697838.0,299062233.0,1590498.0,34764214.0,11903791.0,4598639.0,11903791.0,436556738.0,484760071.0,185697838.0,0.024556046820118565,0.03980372540052558,0.38307164535422306,2.2619535828952406,0.07963275096672542,0.02726745452271544,-0.2301211686104483,-1.2440495226671227,299062233.0
