,cost_of_goods_sold,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2022-01-01,891772146.0,552670055.0,332154476.0,526648557.0,10421835.0,50330045.0,27459657.0,462636.0,29033511.0,942102191.0,877052585.0,350404028.0,0.03130902008572268,0.052140382110645374,0.39952453706068264,1.6638946482238584,0.05342312700342717,0.029147217002916406,0.0,0.0,526648557.0
2023-01-01,950872226.0,640650495.0,530013554.0,534669164.0,6268316.0,79752590.0,40139556.0,-299058.0,42470604.0,1030624816.0,1104589584.0,569920420.0,0.036338886932687206,0.07507363188799869,0.5159567211707475,1.2087436069606627,0.07738275729623029,0.03894681689869187,0.0939628692573542,0.46176465350605067,534669164.0
2024-01-01,1081109501.0,502787891.0,388281820.0,537783824.0,-770159.0,116274120.0,37135593.0,-3080115.0,42509854.0,1197715329.0,967853744.0,430069921.0,0.038369013118163854,0.06905301240346161,0.44435424635811505,1.294904538667301,0.09707992975015184,0.031005358369259044,0.16212545089735153,-0.07483797279670956,537783823.0
