,cost_of_goods_sold,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2021-01-01,87094933.0,52666722.0,54780836.0,44172137.0,-1026520.0,21461652.0,-774059.0,635378.0,-774059.0,108705145.0,108952974.0,64780836.0,-0.007104523828785068,-0.017523693329039223,0.5945761150127027,0.9614077813635411,0.19742995605221814,-0.007120720918959263,0.0,0.0,44172138.0
2022-01-01,83298857.0,61548047.0,63714750.0,44289493.0,-1268471.0,25216272.0,117355.0,119927.0,117355.0,108749981.0,118499243.0,74209750.0,0.000990343879243178,0.002649725522936106,0.6262466166134074,0.9659936984764125,0.23187380602852703,0.0010791266253186748,0.00041245517863952585,-1.151609890202168,44289493.0
2023-01-01,63908570.0,70478229.0,77259493.0,39275716.0,-1561509.0,16263665.0,-5013777.0,-926639.0,-5013777.0,80252573.0,126850209.0,87574493.0,-0.039525177290011405,-0.12765590320492184,0.6903772070253349,0.9122274333330145,0.2026559945934693,-0.062474968871091524,-0.2620451768170884,-43.723164756508034,39275716.0
2024-01-01,68512971.0,68707912.0,82875738.0,26310533.0,-1481007.0,10265440.0,-12965183.0,-1288009.0,-12965183.0,78948524.0,120321271.0,94010738.0,-0.10775470448612531,-0.49277538391183484,0.7813309917578912,0.8290473624500333,0.1300270034180753,-0.16422324754291798,-0.016249310785337645,1.5859113797841426,26310533.0
