,current_assets,current_liabilities,equity,financial_profit,net_income,other_profit,profit_before_tax,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,revenue,gross_profit,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2013-01-01,1983407139.0,1517842.0,-66259319.0,-203931320.0,-206218816.0,-223337.0,-204702590.0,2319508523.0,2385767842.0,-0.08890625490493186,3.1122990563787716,1.028566102837295,1306.728328113203,0.0,0.0,0.0,-206218816.0,0.0,0.0,-66259319.0
2014-01-01,589511676.0,38372189.0,43911016.0,109230339.0,110170335.0,0.0,108654109.0,822283205.0,778372189.0,0.13398101083677125,2.5089452496384963,0.9465986709530325,15.362993130259001,0.0,0.0,0.0,110170335.0,0.0,-1.534239974493889,43911016.0
