,current_assets,current_liabilities,equity,financial_profit,net_income,other_profit,profit_before_tax,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,revenue,gross_profit,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2019-01-01,210140251.0,21044338.0,250525968.0,20817835.0,24033695.0,4271980.0,24033695.0,271570306.0,21044338.0,0.08849897970803922,0.09593294935397675,0.07749130716817029,9.985595697997248,0.0,0.0,0.0,24033695.0,0.0,0.0,250525968.0
2020-01-01,213975485.0,28567248.0,255578222.0,7472648.0,5143773.0,-82436.0,5143773.0,284145470.0,28567248.0,0.01810260427519749,0.020126022318130064,0.10053740430913785,7.490237946616349,0.0,0.0,0.0,5143773.0,0.0,-0.7859766049290382,255578222.0
2021-01-01,130703338.0,9834331.0,285559653.0,35051195.0,29981431.0,-185673.0,33492834.0,295393984.0,9834331.0,0.1014964170698886,0.10499183160164437,0.03329225215365253,13.290516457093014,0.0,0.0,0.0,29981431.0,0.0,4.828684702843613,285559653.0
2022-01-01,90588260.0,1291801.0,286283090.0,1803330.0,723438.0,-2924.0,1003552.0,287574892.0,1291801.0,0.002515650775242228,0.002527002197276122,0.004492050717696175,70.12555339405992,0.0,0.0,0.0,723438.0,0.0,-0.9758704646219188,286283091.0
