,cost_of_goods_sold,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2021-01-01,167905750.0,70943881.0,38770051.0,143365367.0,739594.0,14542244.0,4684402.0,102610.0,5882475.0,182447994.0,182135418.0,38770051.0,0.025719335928391478,0.032674571955722057,0.21286387582232907,1.8298629785140081,0.07970624220729991,0.025675272702642048,0.0,0.0,143365367.0
2022-01-01,141177466.0,66508330.0,31959375.0,139640335.0,-13785.0,8202607.0,267269.0,40735.0,381374.0,149380072.0,171599710.0,31959375.0,0.0015575142871744945,0.0019139813722159863,0.1862437588035551,2.081027241615332,0.05491098571702389,0.0017891877840305233,-0.18124574173175068,-0.9429449052408397,139640335.0
2023-01-01,133826543.0,72257487.0,32159436.0,140748279.0,621999.0,10587424.0,1332473.0,-451050.0,1805936.0,144413967.0,172907714.0,32159436.0,0.00770626693959993,0.0094670643146341,0.1859919101122348,2.2468518104608552,0.07331301964719243,0.00922675990196987,-0.03324476239374152,3.9855127231366154,140748278.0
2024-01-01,68220810.0,58800426.0,19199588.0,135059818.0,290631.0,8302139.0,-4480788.0,-105210.0,-4480788.0,76522949.0,154259406.0,19199588.0,-0.02904709745867944,-0.03317632191685613,0.12446299708946111,3.0625879055321397,0.10849214658468011,-0.058554826474343014,-0.47011393295497517,-4.3627608214200215,135059818.0
