,cost_of_goods_sold,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2022-01-01,516518719.0,1021568246.0,650952032.0,881001069.0,43001238.0,82155975.0,43037225.0,588236.0,54385390.0,598674693.0,1531953101.0,650952032.0,0.028093043430576926,0.04885036637793228,0.42491642307788896,1.56934489145277,0.13722974423440343,0.0718874966709174,0.0,0.0,881001069.0
2023-01-01,869316171.0,944343127.0,578037105.0,896214910.0,63178598.0,143624589.0,67191347.0,-648774.0,88018338.0,1012940760.0,1474252015.0,578037105.0,0.045576567857022736,0.07497236014517991,0.39208839405927487,1.633706761783052,0.14178972223410183,0.06633294823677546,0.6919719036795831,0.5612379050926262,896214910.0
2024-01-01,881597836.0,1170242704.0,790843678.0,930063421.0,44980952.0,154822529.0,80882453.0,606835.0,101676772.0,1036420364.0,1720907099.0,790843678.0,0.04699989502454833,0.08696444906201725,0.45955047687324346,1.4797395952629717,0.14938198281098228,0.07804020049146776,0.023179641818342755,0.20376293393850253,930063421.0
