,current_assets,current_liabilities,equity,net_income,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,net_profit_margin,revenue_growth,gross_profit,gross_margin,net_income_growth,total_equity
2020-01-01,1919351500.0,467267350.0,706274720.0,66590020.0,83390420.0,937642620.0,2281676130.0,1575401400.0,0.029184694148507394,0.094283452559601,0.6904579397953381,4.1076088453430355,0.07101855075657718,0.0,0.0,0.0,0.0,706274730.0
2021-01-01,2103112310.0,449045860.0,732302470.0,82967240.0,104619250.0,1092236270.0,2290574450.0,1558271990.0,0.03622114967710392,0.11329641033842765,0.6802974642452683,4.683513416647466,0.07596089076954018,0.16487481125804626,0.0,0.0,0.24594105843488268,732302460.0
2022-01-01,2315615630.0,562643000.0,747967320.0,87844220.0,110115450.0,1177438960.0,2522621230.0,1774653910.0,0.034822596018507304,0.11744392789781244,0.7034959861968656,4.115603730962618,0.07460617746163249,0.07800756332693481,0.0,0.0,0.05878199636386605,747967320.0
2023-01-01,1969449539.0,1488477527.0,836904726.0,88937406.0,111018609.0,1257810418.0,2328999153.0,1492084426.0,0.03818696365150632,0.10626818136992827,0.6406547739951024,1.323130180520354,0.07070811684118203,0.06825955376913972,0.0,0.0,0.012444597948504832,836914727.0
