,current_assets,current_liabilities,equity,financial_profit,gross_profit,net_income,other_profit,profit_before_tax,revenue,total_assets,total_debt,roa,roe,debt_ratio,current_ratio,gross_margin,net_profit_margin,revenue_growth,net_income_growth,total_equity
2009-01-01,396864380.0,295770737.0,254182661.0,51859382.0,1037343.0,45581751.0,-579.0,45581751.0,1037343.0,549953399.0,295770737.0,0.08288293350469864,0.17932675124788802,0.5378105445621585,1.3417973124231015,1.0,43.940867196288984,0.0,0.0,254182662.0
2010-01-01,1294314570.0,1111658373.0,267489862.0,13634481.0,2177785.0,13307201.0,3559840.0,13307201.0,2177785.0,1379148236.0,1111658373.0,0.009648854744284355,0.04974843102745916,0.8060470542486341,1.1643096489320466,1.0,6.110429174597125,1.0993875699744442,-0.7080585824796419,267489863.0
2011-01-01,365071532.0,209816235.0,272277250.0,9026714.0,307617.0,4787387.0,648635.0,4787387.0,307617.0,482093485.0,209816235.0,0.009930412148174955,0.017582765361410107,0.4352189804016953,1.739958454597186,1.0,15.562816749399415,-0.8587477643569039,-0.640240874095161,272277250.0
2012-01-01,193881710.0,6189733.0,296713907.0,27859372.0,175603.0,24436657.0,342402.0,24436657.0,175603.0,302903640.0,6189733.0,0.08067468915196925,0.08235763954265884,0.02043466034280737,31.32311361410904,1.0,139.1585394326976,-0.42915053459334174,4.104383038179282,296713907.0
