,2020,2021,2022
cost_of_goods_sold,384180719.0,522389437.0,-1375298634.0
current_assets,6250523915.0,5898599318.0,7170751213.0
current_liabilities,2081273290.0,2005047319.0,1968322388.0
equity,10772430071.0,11028144582.0,10095978103.0
financial_profit,76079172.0,23804407.0,48447346.0
gross_profit,264618431.0,409943914.0,-169902614.0
net_income,179154947.0,-404121835.0,-257886157.0
other_profit,8106240.0,-29516171.0,2136437.0
profit_before_tax,244084984.0,-339882573.0,-214909686.0
revenue,648799150.0,932333351.0,607828594.0
total_assets,13497099858.0,13272810419.0,12221417090.0
total_debt,2724669787.0,2244665837.0,2125438987.0
roa,0.013273588317849727,-0.030447344777975616,-0.021101166509652276
roe,0.016630875839453847,-0.03664458984874052,-0.02554345446959415
debt_ratio,0.2018707585826324,0.16911759952411928,0.17391100977472654
current_ratio,3.003221126717097,2.941875367281544,3.6430776059434833
gross_margin,0.4078587818741748,0.43969671744586125,-0.27952389156604895
net_profit_margin,0.27613314074163015,-0.43345208510083644,-0.4242744739975165
revenue_growth,0.0,0.4370138293183645,-0.3480565793897037
