,2022,2023,2024
cost_of_goods_sold,111925806.0,109755345.0,121678350.0
current_assets,115865387.0,164160278.0,239581871.0
current_liabilities,91395933.0,94638773.0,90270740.0
equity,296585106.0,311722123.0,362685367.0
financial_profit,-24838840.0,-36554777.0,-44687271.0
gross_profit,77609134.0,118186838.0,165971809.0
net_income,-15376430.0,15137017.0,50963244.0
other_profit,-131248.0,470538.0,5164715.0
profit_before_tax,-15376430.0,15137017.0,56869397.0
revenue,189597810.0,228000099.0,287737905.0
total_assets,769127210.0,770396316.0,804969978.0
total_debt,472542105.0,458674194.0,442284611.0
roa,-0.019992050469778595,0.019648350706806858,0.06331073877639695
roe,-0.05184491631214954,0.04855932859150969,0.1405164052289984
debt_ratio,0.6143874496391826,0.5953743345782043,0.5494423681475484
current_ratio,1.2677302282148595,1.7345985455665196,2.654036856239353
gross_margin,0.40933560361272103,0.5183630994826892,0.576815936016494
net_profit_margin,-0.0811002511052211,0.06639039661118744,0.17711689393164937
revenue_growth,0.0,0.2025460578895928,0.26200780728608364
