,2020,2021,2022,2023
cost_of_goods_sold,1896035.0,19366735.0,0.0,0.0
current_assets,631739189.0,967468246.0,515644141.0,322843656.0
current_liabilities,702535491.0,15429480.0,12193229.0,13637688.0
equity,260170265.0,755673169.0,791667237.0,792682716.0
financial_profit,2162468.0,46613368.0,85575766.0,38634957.0
gross_profit,38103965.0,34494824.0,2000000.0,1000000.0
net_income,25975823.0,75956101.0,71546200.0,1015479.0
other_profit,363951.0,12960599.0,490225.0,-877775.0
profit_before_tax,30666691.0,87661617.0,82392216.0,1519904.0
revenue,40000000.0,53861559.0,2000000.0,1000000.0
total_assets,1329784247.0,1071102649.0,803860466.0,806320404.0
total_debt,1069613982.0,315429480.0,12193229.0,13637688.0
roa,0.01953386277405646,0.07091393254504032,0.08900325743846196,0.0012593988629859849
roe,0.0998416287118745,0.10051448710361714,0.09037408226102958,0.0012810661561087956
debt_ratio,0.8043515212434307,0.2944904303004856,0.01516834017310661,0.0169134849277608
current_ratio,0.8992274370377681,62.70258271827696,42.289383804732935,23.672902327725932
gross_margin,0.952599125,0.6404349343100151,1.0,1.0
net_profit_margin,0.649395575,1.4102098492915884,35.7731,1.015479
revenue_growth,0.0,0.3465389750000001,-0.9628677662300863,-0.5
