,2021,2022,2023,2024
cost_of_goods_sold,30170549.0,33801725.0,31471752.0,31932945.0
current_assets,94810558.0,92302246.0,0.0,88888376.0
current_liabilities,12330690.0,17330851.0,17030367.0,13840214.0
equity,122334044.0,115982454.0,0.0,113412928.0
financial_profit,3190952.0,3978064.0,5344989.0,3441835.0
gross_profit,65464759.0,79616237.0,73952579.0,59408468.0
net_income,56266364.0,61972911.0,58029557.0,44762427.0
other_profit,0.0,214078.0,0.0,0.0
profit_before_tax,62906033.0,77532665.0,72621170.0,56127167.0
revenue,95635308.0,113417963.0,105424331.0,91341413.0
total_assets,134664735.0,133313305.0,0.0,127253141.0
total_debt,12330690.0,17330851.0,17030367.0,13840214.0
roa,0.4178255279676598,0.464866661283358,0.0,0.35175891650485863
roe,0.4599403580576475,0.5343300547857006,0.0,0.39468540129746055
debt_ratio,0.09156584312886369,0.1300009102617327,0.0,0.10876127607726398
current_ratio,7.688990478229523,5.325892306153921,0.0,6.422471213234131
gross_margin,0.6845249978177516,0.7019720236026458,0.7014754402377948,0.6504001421567673
net_profit_margin,0.5883429998468767,0.5464117795873304,0.5504379913968817,0.49005621360379
revenue_growth,0.0,0.18594236137138798,-0.0704794177973378,-0.13358318583970907
