,2022,2023,2024
cost_of_goods_sold,83286094.0,72636605.0,74919501.0
current_assets,228274932.0,258593902.0,273487389.0
current_liabilities,22414537.0,20118051.0,23014928.0
equity,343412615.0,355801629.0,347368014.0
financial_profit,5933516.0,7521949.0,5565915.0
gross_profit,27614270.0,28263765.0,37322422.0
net_income,-16627134.0,-9855411.0,-8433615.0
other_profit,-747913.0,231970.0,319359.0
profit_before_tax,-16627134.0,-9855411.0,-8433615.0
revenue,119567897.0,108475645.0,121606389.0
total_assets,365827152.0,375919680.0,370382942.0
total_debt,22414537.0,20118051.0,23014928.0
roa,-0.045450792564462245,-0.026216799822770653,-0.022769987609202586
roe,-0.04841736521531104,-0.027699173350327747,-0.02427861708648857
debt_ratio,0.06127084027923657,0.05351688690520273,0.06213819641834369
current_ratio,10.184235882275864,12.853824756682444,11.883043431637066
gross_margin,0.23095053683180528,0.26055401652601373,0.3069116870167076
net_profit_margin,-0.13906018602969994,-0.09085367503461261,-0.06935174269503225
revenue_growth,0.0,-0.09276948309963162,0.12104785364493575
