,2021,2022,2023,2024
cost_of_goods_sold,1948958393.0,1864424815.0,1471060651.0,1460647680.0
current_assets,1186707144.0,869306735.0,1000137911.0,1129651249.0
current_liabilities,843944333.0,467338259.0,590137531.0,732230840.0
equity,583664121.0,615128764.0,653540777.0,649304859.0
financial_profit,-14687151.0,-809407.0,49754132.0,-2817412.0
gross_profit,160718783.0,144089965.0,87904288.0,139509751.0
net_income,36595558.0,45030666.0,56820856.0,25684185.0
other_profit,5953198.0,-1614024.0,7726630.0,6104952.0
profit_before_tax,43044976.0,55031194.0,56980932.0,32135747.0
revenue,2117795194.0,2022706636.0,1560100299.0,1605625067.0
total_assets,1428503833.0,1082838886.0,1243946545.0,1381797106.0
total_debt,844839712.0,467710121.0,590405768.0,732492247.0
roa,0.02561810276920692,0.0415857488885932,0.04567789205122154,0.018587522646034547
roe,0.0626996875142853,0.07320526796240015,0.08694309215230499,0.0395564343066159
debt_ratio,0.5914157823614324,0.4319295576165705,0.474623102072284,0.5301011587152651
current_ratio,1.4061438623345788,1.8601231939797165,1.6947539488045202,1.5427528960675845
gross_margin,0.07588967217195414,0.07123621509688863,0.05634527988767471,0.08688812467325537
net_profit_margin,0.017280026937297886,0.022262578862672005,0.03642128396258964,0.015996377689835854
revenue_growth,0.0,-0.044899789304177595,-0.2287065898566617,0.0291806674411772
