,2020,2021,2022,2023
cost_of_goods_sold,1035966212.0,616356665.0,792691208.0,963185815.0
current_assets,441178645.0,627505986.0,717776251.0,549222012.0
current_liabilities,262592666.0,226004826.0,175568576.0,177465071.0
equity,1483983484.0,1206192405.0,1384917426.0,1167924288.0
financial_profit,-29434551.0,-8162046.0,12353306.0,10668863.0
gross_profit,-29963861.0,-131676719.0,296483942.0,255613914.0
net_income,-210578389.0,-277167079.0,185350736.0,151204580.0
other_profit,67351054.0,-10212478.0,26100107.0,43864141.0
profit_before_tax,-210715126.0,-276750086.0,186800319.0,151232161.0
revenue,0.0,0.0,1089175150.0,1218799729.0
total_assets,2058333628.0,1571671830.0,1836573334.0,1653047311.0
total_debt,574350144.0,365479425.0,451655908.0,485123023.0
roa,-0.10230527555662128,-0.17635175086137417,0.10092204464077228,0.09147020717061619
roe,-0.14190076322978806,-0.22978678845188052,0.13383522549451984,0.12946436815602896
debt_ratio,0.27903646726020453,0.23254181822422815,0.2459231546263973,0.2934719531448426
current_ratio,1.6800874591067216,2.7765158696212975,4.08829568111323,3.094817526092219
gross_margin,0.0,0.0,0.27220960926256904,0.20972593603194015
net_profit_margin,0.0,0.0,0.1701753257958557,0.12406023434552306
revenue_growth,0.0,0.0,0.0,0.11901169339017703
