,2021,2022,2023,2024
cost_of_goods_sold,4887328611.0,6263623724.0,6070498657.0,6084858851.0
current_assets,768051682.0,1612784016.0,1155290868.0,1402508004.0
current_liabilities,1073085883.0,1381381588.0,915732478.0,1227774307.0
equity,551666695.0,664341495.0,707486281.0,677783055.0
financial_profit,-81108323.0,-58848657.0,-60735299.0,-42227369.0
gross_profit,452234768.0,490583100.0,465911275.0,388617974.0
net_income,101657856.0,176314601.0,138186124.0,95328871.0
other_profit,-3521961.0,4853949.0,-1804701.0,966731.0
profit_before_tax,127613401.0,220832176.0,175610187.0,120911468.0
revenue,5339563380.0,6754206823.0,6536409932.0,6473476825.0
total_assets,2358563003.0,2704949853.0,2125611620.0,2472184635.0
total_debt,1806896308.0,2040608359.0,1418125339.0,1794401580.0
roa,0.043101607152615885,0.0651822069102144,0.06501005296536722,0.03856057903215631
roe,0.1842740497502754,0.26539754377377855,0.1953198637359867,0.14064805883941728
debt_ratio,0.7661005051388063,0.7543978520477215,0.6671610776196265,0.7258363936882893
current_ratio,0.7157411109097593,1.1675152108658335,1.2616030290016644,1.1423174405945604
gross_margin,0.08469508381413762,0.072633710050072,0.07127938422574442,0.060032341893801404
net_profit_margin,0.019038608359022793,0.02610441249734884,0.021140981890301676,0.01472606971138728
revenue_growth,0.0,0.2649361646869337,-0.03224610923348381,-0.00962808447675556
