,2020,2021,2022,2023
current_assets,323419550.0,359847210.0,236649360.0,263287797.0
current_liabilities,15175780.0,34869450.0,18336130.0,9817922.0
equity,325901410.0,340804360.0,229424060.0,262931973.0
financial_profit,1539880.0,674980.0,-3553780.0,3291664.0
net_income,22636020.0,38923140.0,-81036210.0,33507910.0
other_profit,136700.0,56520.0,-71330.0,-7029.0
revenue,60082710.0,89174450.0,62205110.0,104038075.0
total_assets,341077190.0,375673810.0,247760190.0,272749895.0
total_debt,15175780.0,34869450.0,18336130.0,9817922.0
roa,0.06636626741295716,0.10360887281442377,-0.32707518508118677,0.12285214628588582
roe,0.06945664948181722,0.11420963041670007,-0.3532158309812842,0.12743946511214138
debt_ratio,0.04449368191405588,0.092818421385297,0.07400757159574345,0.03599606152002369
current_ratio,21.31156026247086,10.319841867307916,12.90617813028158,26.817059353292887
net_profit_margin,0.37674765335984345,0.4364830957746305,-1.3027259336089914,0.3220735293304879
revenue_growth,0.0,0.48419487070406775,-0.3024334885160491,0.6725004585636132
