,2022,2023,2024
cost_of_goods_sold,228102552.0,400601195.0,561783289.0
current_assets,1606656203.0,1962652474.0,2117847681.0
current_liabilities,416499641.0,562294059.0,409333618.0
equity,1257920038.0,1462180451.0,1757931103.0
financial_profit,5908847.0,-5478108.0,24885200.0
gross_profit,163174775.0,513422446.0,879531067.0
net_income,106500409.0,364190289.0,620095407.0
other_profit,-712145.0,-16823200.0,-14075800.0
profit_before_tax,133588473.0,460812966.0,838981793.0
revenue,391277327.0,914023641.0,1441314356.0
total_assets,1685279911.0,2035334743.0,2178124954.0
total_debt,427359874.0,573154292.0,420193851.0
roa,0.06319449268033196,0.17893385363392286,0.28469230190914013
roe,0.08466389419261322,0.249073422333698,0.3527415869380633
debt_ratio,0.25358391280319487,0.28160197921801994,0.19291540195081022
current_ratio,3.8575212193280137,3.4904378635805577,5.173891388026673
gross_margin,0.4170310001121021,0.5617168123116413,0.6102284788454574
net_profit_margin,0.2721865072442595,0.3984473405978347,0.43022911998248353
revenue_growth,0.0,1.3359995019593867,0.5768895806930228
