,2022,2023,2024
cost_of_goods_sold,18537904.0,20472620.0,21425368.0
current_assets,18096076.0,56935968.0,26941265.0
current_liabilities,12942444.0,14330899.0,30010232.0
equity,110444959.0,121512041.0,124599743.0
financial_profit,4054699.0,-3045298.0,-780075.0
gross_profit,31135108.0,30845204.0,22211743.0
net_income,22421420.0,23771971.0,20150882.0
other_profit,-3870008.0,-351421.0,351718.0
profit_before_tax,24751492.0,25047638.0,22441819.0
revenue,49673011.0,51317823.0,43637112.0
total_assets,159387403.0,166842940.0,169609975.0
total_debt,48942444.0,45330899.0,45010232.0
roa,0.14067247208990538,0.14248113225528153,0.11880717510865738
roe,0.2030098992566967,0.19563469434276065,0.1617249082126919
debt_ratio,0.30706594799088355,0.27169803528995595,0.2653749108800942
current_ratio,1.3981961984923403,3.972951592220418,0.897735978848814
gross_margin,0.6268013026228669,0.6010622079584319,0.5090103808886344
net_profit_margin,0.4513803280417207,0.46323030889287725,0.4617831262527181
revenue_growth,0.0,0.0331127903641677,-0.14966946279073456
