,2021,2022,2023,2024
cost_of_goods_sold,1004557212.0,1671197368.0,2519088359.0,3342682801.0
current_assets,693367839.0,959486190.0,1455695947.0,2180353194.0
current_liabilities,599388133.0,950199304.0,1158267994.0,1566362955.0
equity,242203629.0,265934691.0,488437741.0,816638122.0
financial_profit,-27729749.0,-37839442.0,-55353999.0,-80847581.0
gross_profit,83803798.0,114310716.0,137517110.0,200301796.0
net_income,22223982.0,24931061.0,22793051.0,58777588.0
other_profit,-367993.0,-915780.0,1104982.0,-63578.0
profit_before_tax,27896587.0,31480731.0,33508497.0,76403365.0
revenue,1088361010.0,1785508085.0,2656605469.0,3545799658.0
total_assets,885972792.0,1251228958.0,1684717178.0,2410520127.0
total_debt,643769162.0,985294267.0,1196279436.0,1593882005.0
roa,0.025084271436633464,0.01992525895488426,0.013529304085958574,0.02438377814880614
roe,0.09175742779642662,0.09374881068073966,0.046665212547529165,0.07197507245443044
debt_ratio,0.726624076735756,0.7874612081987955,0.710077306518685,0.6612191232701539
current_ratio,1.1567927371695228,1.0097736190301398,1.2567868183708095,1.391984652752465
gross_margin,0.07700000021132694,0.06402139366397773,0.05176422001862558,0.056489879665953764
net_profit_margin,0.020419678577055973,0.013963006501871987,0.008579765142386673,0.01657668048655444
revenue_growth,0.0,0.640547638692055,0.4878708706603252,0.3347106671939175
