,2021,2022,2023,2024
cost_of_goods_sold,3491679315.0,3323855691.0,2755379718.0,3170476832.0
current_assets,1170473262.0,1662756370.0,1785334757.0,2186220726.0
current_liabilities,704171341.0,1131127571.0,1062496403.0,1236078205.0
equity,1697095726.0,1751355603.0,1851904200.0,2003079436.0
financial_profit,-2408492.0,-21377630.0,-8985578.0,-4123580.0
gross_profit,672651220.0,610871068.0,503528823.0,426030313.0
net_income,481340231.0,379458584.0,309338389.0,242196652.0
other_profit,3020284.0,4809838.0,7547706.0,8133459.0
profit_before_tax,511564283.0,437158857.0,358098054.0,279222801.0
revenue,4164826385.0,3935865494.0,3261255036.0,3597426318.0
total_assets,2401267068.0,2882483173.0,2915097525.0,3244657641.0
total_debt,704171341.0,1131127571.0,1063193326.0,1241578205.0
roa,0.20045260163456338,0.13164294853630357,0.1061159657085572,0.07464474801272261
roe,0.2836258577673184,0.21666564080418796,0.16703800822958337,0.12091215537794578
debt_ratio,0.29324990559525715,0.39241428418218904,0.36471964209842345,0.38265306925181386
current_ratio,1.6621995157283744,1.4699989750316147,1.6803207539894138,1.7686750863793443
gross_margin,0.1615076254853298,0.15520628663028188,0.15439725426000078,0.11842641803900875
net_profit_margin,0.11557270015710391,0.0964104552298504,0.09485256000690159,0.06732497919085942
revenue_growth,0.0,-0.05497489446970072,-0.17140079076086434,0.10308034124565779
