,2020,2021,2022,2023
cost_of_goods_sold,6022405771.0,7298428758.0,10254865119.0,8540191778.0
current_assets,4735480615.0,5542588932.0,7640362199.0,7888156658.0
current_liabilities,1941003568.0,2680066010.0,3698134022.0,3232914913.0
equity,5175731032.0,5883949271.0,7694388199.0,8591055776.0
financial_profit,126007228.0,88612257.0,64490358.0,148486262.0
gross_profit,1014773886.0,1755820160.0,2975935067.0,1492824674.0
net_income,719298771.0,1106553958.0,2012919885.0,977846274.0
other_profit,-17890443.0,-7824280.0,3757187.0,26866633.0
profit_before_tax,803270316.0,1279554866.0,2322917663.0,1145028260.0
revenue,7165405539.0,9060328594.0,13463916114.0,10075768817.0
total_assets,7201862313.0,8737627022.0,11583289703.0,11942549471.0
total_debt,2026131281.0,2853677751.0,3888901504.0,3351493695.0
roa,0.09987677349809951,0.12664238874168782,0.17377791081912303,0.08187918973034163
roe,0.13897529963454253,0.1880631370249623,0.2616088287905215,0.11382143237059575
debt_ratio,0.28133435394101514,0.3265964253011577,0.3357337685331999,0.2806346922102693
current_ratio,2.439707321032601,2.068079260480603,2.066004680616737,2.4399518299354637
gross_margin,0.14162127746667932,0.1937921060791054,0.221030422486484,0.14815987753522908
net_profit_margin,0.10038493523988105,0.12213176889994813,0.14950478508306606,0.0970492963623939
revenue_growth,0.0,0.26445440452550506,0.48602956000030484,-0.251646494846841
