,2021,2022,2023
cost_of_goods_sold,1253527746.0,2012218283.0,1344396287.0
current_assets,582123149.0,787896544.0,847418472.0
current_liabilities,484635945.0,413967921.0,684776603.0
equity,521109944.0,780531904.0,520006450.0
financial_profit,2142896.0,40699246.0,34954047.0
gross_profit,341071821.0,1137672193.0,366214302.0
net_income,256386920.0,963253159.0,285591665.0
other_profit,-2994376.0,0.0,0.0
profit_before_tax,256386920.0,1014137678.0,300756638.0
revenue,1594599567.0,3149890476.0,1710610590.0
total_assets,1005745889.0,1194499825.0,1204783054.0
total_debt,484635945.0,413967921.0,684776603.0
roa,0.25492216553320657,0.8064071160495985,0.23704820884706768
roe,0.4920015880564352,1.23409838094203,0.5492079280939688
debt_ratio,0.4818671896157261,0.3465617259508598,0.5683816689871868
current_ratio,1.201155537482883,1.903279225348478,1.237510844102248
gross_margin,0.21389183093889552,0.3611783335542236,0.21408396752647252
net_profit_margin,0.16078451625466922,0.30580528635497867,0.1669530556337781
revenue_growth,0.0,0.975348884564196,-0.45693013676707916
