,2020,2021,2022,2023
current_assets,166901020.0,176804590.0,187009390.0,173648814.0
current_liabilities,2370040.0,2385360.0,4288110.0,0.0
equity,171437000.0,180496700.0,193194970.0,180530129.0
financial_profit,30680.0,40120.0,20150.0,9311.0
net_income,13478140.0,9507540.0,12698270.0,-12664839.0
other_profit,-345660.0,-30000.0,-1200.0,-1399946.0
revenue,30813600.0,32865200.0,38337860.0,12596730.0
total_assets,173807040.0,182882060.0,197483080.0,181574460.0
total_debt,2370040.0,2385360.0,4288110.0,0.0
roa,0.07754657118606934,0.051987275296439685,0.06430054665949103,-0.06975011243321334
roe,0.07861861791795237,0.0526743148212682,0.06572774643149354,-0.07015360300329702
debt_ratio,0.013636041439978496,0.013043160165628056,0.021713809608397843,0.0
current_ratio,70.42118276484786,74.12071553140825,43.61114570288542,0.0
net_profit_margin,0.43740880650102554,0.2892889743558536,0.3312201046172113,-1.0054068794044169
revenue_growth,0.0,0.06658099021211417,0.16651838418752973,-0.6714284521879939
