,2021,2022,2023,2024
current_assets,690321110.0,1005777930.0,1282961220.0,2849554202.0
current_liabilities,11665230.0,11960250.0,820114228.0,2123516168.0
equity,941175150.0,989726520.0,1470902773.0,390886062.0
financial_profit,6499010.0,15538090.0,43108662.0,-28801889.0
net_income,88917900.0,62995140.0,85655566.0,125172470.0
other_profit,0.0,40910.0,0.0,0.0
revenue,124619270.0,154491220.0,200015106.0,278942731.0
total_assets,952840380.0,1017956250.0,1895663781.0,3721427277.0
total_debt,11665230.0,28229730.0,825365212.0,2130684566.0
roa,0.09331877811475622,0.061883936564071394,0.04518499897424585,0.03363560824461598
roe,0.09447540131079746,0.06364903710976644,0.05823332960702767,0.32022750916096876
debt_ratio,0.012242585688906257,0.02773177138015509,0.4353964137905318,0.5725449961547106
current_ratio,59.17766816427966,84.09338684392048,1.5643689332506008,1.3419036996001812
net_profit_margin,0.7135164569652831,0.4077587062876453,0.4282454846185468,0.4487389563845634
revenue_growth,0.0,0.23970570522520318,0.2946697294512919,0.39460832023357284
