,2012,2013
cost_of_goods_sold,68235880.0,93400251.0
current_assets,92336196.0,57014259.0
current_liabilities,76326234.0,41554036.0
equity,45487529.0,44162187.0
financial_profit,2680844.0,2309492.0
gross_profit,9239951.0,8909471.0
net_income,3586760.0,1561418.0
other_profit,-54488.0,131795.0
profit_before_tax,4374786.0,2051628.0
revenue,77514811.0,102355836.0
total_assets,125095030.0,87142490.0
total_debt,79607502.0,42980304.0
roa,0.02867228218419229,0.017917986965945085
roe,0.07885150235353519,0.03535644645497289
debt_ratio,0.636376217344526,0.49321868126559154
current_ratio,1.2097570017669155,1.3720510566049469
gross_margin,0.11920239346258614,0.0870440939000293
net_profit_margin,0.046271931179707064,0.0152548018854538
revenue_growth,0.0,0.32046811028153055
