,2019,2020,2021,2022
current_assets,332426400.0,348011120.0,404873880.0,338101780.0
current_liabilities,11373820.0,11350880.0,64440770.0,27267280.0
equity,349679200.0,365389480.0,364482930.0,331738550.0
financial_profit,254010.0,209190.0,-271330.0,-4811700.0
net_income,8114480.0,24524270.0,19434810.0,12653020.0
other_profit,-415750.0,-379730.0,-314120.0,73590.0
revenue,41562240.0,62882090.0,114351730.0,99742430.0
total_assets,361053020.0,376740360.0,428923700.0,359005820.0
total_debt,11373820.0,11350880.0,64440770.0,27267280.0
roa,0.022474483110541493,0.06509594565339376,0.045310646159212,0.035244609683486465
roe,0.023205498067943416,0.0671181611468398,0.0533215917683717,0.03814154248880632
debt_ratio,0.03150179992955051,0.030129184990957698,0.15023830578725308,0.07595219486970992
current_ratio,29.227330835198728,30.659395571092286,6.282883956849057,12.399541868495868
net_profit_margin,0.19523683035370568,0.39000405361844687,0.16995641430173378,0.12685694543435527
revenue_growth,0.0,0.5129620058976609,0.818510326231205,-0.12775757743236593
