,2022,2023,2024
cost_of_goods_sold,30067851.0,28129963.0,24884502.0
current_assets,47848672.0,57725914.0,72711900.0
current_liabilities,10206691.0,10972989.0,19651727.0
equity,87514840.0,90203433.0,91910370.0
financial_profit,1782701.0,3041772.0,2801756.0
gross_profit,43379197.0,44365446.0,41994389.0
net_income,36067105.0,34277703.0,32368381.0
other_profit,209860.0,352087.0,146505.0
profit_before_tax,40364848.0,42960229.0,40558156.0
revenue,73447048.0,72495409.0,66878891.0
total_assets,97721531.0,101176422.0,111562096.0
total_debt,10206691.0,10972989.0,19651727.0
roa,0.3690804332568224,0.3387914132800624,0.2901377991320636
roe,0.41212558921435494,0.38000441734850604,0.3521733292989681
debt_ratio,0.104446695580322,0.1084540131296598,0.1761505717856
current_ratio,4.68797105741714,5.260728321152969,3.7000259570062215
gross_margin,0.5906186590371882,0.6119759390556718,0.6279169461706534
net_profit_margin,0.49106269049778556,0.47282584473728534,0.4839850140457622
revenue_growth,0.0,-0.012956803927640537,-0.07747411977495011
