,2021,2022,2023,2024
current_assets,5502631020.0,3652011180.0,5661114172.0,5080994655.0
current_liabilities,3436050700.0,1658279740.0,7028071258.0,3118981333.0
equity,2144451660.0,2180939810.0,2314776716.0,1753033162.0
financial_profit,-99792250.0,-77424550.0,-58361350.0,-132715299.0
net_income,282944320.0,146887890.0,195723440.0,199953862.0
other_profit,-560660.0,1754500.0,-185282.0,-115051.0
revenue,1138320050.0,855266060.0,870493836.0,990555836.0
total_assets,5719297480.0,3857650840.0,5813052545.0,5460042184.0
total_debt,3574845820.0,1676711030.0,7057148536.0,3153287233.0
roa,0.04947186625445473,0.03807703083879929,0.033669649204934204,0.036621303510427236
roe,0.13194250319449963,0.0673507307842668,0.08455391772655103,0.11406165401450631
debt_ratio,0.6250498129361161,0.43464561712381417,1.2140176751146157,0.5775206723201389
current_ratio,1.6014405782778467,2.20228896965237,0.8055003946574953,1.6290558078181354
net_profit_margin,0.24856306449139678,0.17174525784409123,0.22484184483070827,0.20186026343294391
revenue_growth,0.0,-0.24865940822179144,0.017804723830617153,0.13792400937805138
