,2020,2021,2022,2023
current_assets,622701180.0,1639392870.0,2103829080.0,3332440476.0
current_liabilities,294022410.0,420655460.0,705345420.0,944460362.0
equity,346583090.0,1214279930.0,1533187630.0,2420065070.0
financial_profit,-1476040.0,-2070820.0,-16176570.0,-49869686.0
net_income,3368490.0,377696840.0,318907700.0,86939040.0
other_profit,1016310.0,-269010.0,10542280.0,5736360.0
revenue,503504980.0,958499340.0,1226588290.0,656522207.0
total_assets,651422180.0,1645552060.0,2306937720.0,3566762108.0
total_debt,304839080.0,431272130.0,773750090.0,1146697038.0
roa,0.005170978366134233,0.2295259136316842,0.1382385390100605,0.024374779524824985
roe,0.009719141231039287,0.311045938147063,0.20800304787222945,0.03592425719362992
debt_ratio,0.4679593194078838,0.26208355267714833,0.33540137789242097,0.32149523945766895
current_ratio,2.117869790945527,3.897234259125033,2.982693330595384,3.528406918997835
net_profit_margin,0.006690082787264587,0.39405018265322955,0.2599957154327635,0.13242360893970492
revenue_growth,0.0,0.9036541406204166,0.27969654105343467,-0.4647574802788962
