,2021,2022,2023,2024
cost_of_goods_sold,2368726938.0,0.0,3239524814.0,3579440635.0
current_assets,3480836199.0,3899173818.0,4158129076.0,3734010299.0
current_liabilities,3276833706.0,3941966096.0,3673439406.0,3438757156.0
equity,884795350.0,1306568389.0,1400461845.0,1142944612.0
financial_profit,51003953.0,0.0,31205877.0,-33807316.0
gross_profit,71051285.0,0.0,81818412.0,115711176.0
net_income,46294027.0,0.0,2606727.0,6055367.0
other_profit,21509972.0,0.0,-6895485.0,-4380231.0
profit_before_tax,59498741.0,0.0,4211787.0,11234028.0
revenue,2439778223.0,0.0,3325201928.0,3695151811.0
total_assets,5192754538.0,6470360448.0,6584036444.0,6083725944.0
total_debt,4307959189.0,5163792059.0,5183574599.0,4940781332.0
roa,0.008915119453697544,0.0,0.0003959162471488896,0.0009953385566245027
roe,0.05232173405974613,0.0,0.0018613338230574928,0.005298040636810841
debt_ratio,0.8296096334758044,0.7980686857400869,0.7872943357905873,0.812130818757999
current_ratio,1.0622559797973465,0.9891444327632797,1.1319443759459686,1.0858604227067437
gross_margin,0.029122026063759975,0.0,0.024605546902594002,0.03131432263636434
net_profit_margin,0.018974686536498364,0.0,0.0007839304368405262,0.0016387329424393166
revenue_growth,0.0,0.0,0.3629115534572094,0.1112563660825594
