,2021,2022,2023,2024
cost_of_goods_sold,5991812076.0,5410918311.0,4112181167.0,5282157246.0
current_assets,508444378.0,521801620.0,452397736.0,608360901.0
current_liabilities,867014283.0,895172763.0,816508328.0,982672462.0
equity,289073152.0,291790660.0,294737853.0,305960623.0
financial_profit,-47526946.0,-39313920.0,-39449084.0,-31401594.0
gross_profit,75186432.0,60498513.0,59445844.0,55954364.0
net_income,8908949.0,2717508.0,2947194.0,11222769.0
other_profit,100462.0,-2148559.0,-2475288.0,1588522.0
profit_before_tax,13853037.0,5634441.0,6300923.0,14069445.0
revenue,6066998508.0,5471416824.0,4171627011.0,5338111610.0
total_assets,1354310721.0,1315186710.0,1193469469.0,1288633085.0
total_debt,1065237570.0,1023396050.0,898731615.0,982672462.0
roa,0.006578216403265112,0.002066252631156834,0.002469433929021606,0.008709049248103078
roe,0.030819012206294412,0.00931321105343125,0.009999373918218778,0.03668043583503881
debt_ratio,0.786553302342203,0.7781374630830934,0.7530411446159918,0.7625696355607694
current_ratio,0.5864313748566008,0.5829060507284447,0.5540638355865,0.6190881748755059
gross_margin,0.012392690042837242,0.011057193218149157,0.01425003813697859,0.010482052097820412
net_profit_margin,0.001468427755215792,0.0004966735468004988,0.00070648550127532,0.002102385603736
revenue_growth,0.0,-0.0981674353825307,-0.23756000590168158,0.2796234169363998
