,2022,2023,2024
cost_of_goods_sold,834867161.0,668994145.0,906161472.0
current_assets,430595265.0,344948055.0,454512431.0
current_liabilities,183050099.0,275341427.0,366455219.0
equity,369311228.0,333747280.0,377073233.0
financial_profit,7788972.0,-33086424.0,21270232.0
gross_profit,156768562.0,119877210.0,162751658.0
net_income,54654212.0,-10183982.0,54106250.0
other_profit,9534138.0,5139592.0,-1797633.0
profit_before_tax,68892487.0,-10183982.0,70130519.0
revenue,994319340.0,797652401.0,1069161287.0
total_assets,557877862.0,615012879.0,748906806.0
total_debt,188566634.0,281265599.0,371833573.0
roa,0.09796806025617127,-0.016558973556064345,0.07224697327693935
roe,0.14798957588151096,-0.030514052429131407,0.14349003128524904
debt_ratio,0.3380070206119776,0.45733286017901426,0.4965017943768026
current_ratio,2.3523356029433233,1.2528011449581105,1.2402946047276788
gross_margin,0.15766419870702705,0.15028753107207157,0.15222367287228572
net_profit_margin,0.05496645775792715,-0.012767443547129748,0.050606256191541285
revenue_growth,0.0,-0.19779051969360262,0.3403849667594745
