,2022,2023,2024
cost_of_goods_sold,1055721002.0,1054301295.0,1110765054.0
current_assets,1226498651.0,1530494507.0,1594031971.0
current_liabilities,435706116.0,634845857.0,636211289.0
equity,1380558911.0,1489054787.0,1532699672.0
financial_profit,16058865.0,26083010.0,17428498.0
gross_profit,1343196957.0,1244934164.0,1236456086.0
net_income,293515478.0,285268919.0,257358010.0
other_profit,1818623.0,1211753.0,756890.0
profit_before_tax,368455951.0,360667619.0,324640661.0
revenue,2408434865.0,2302413360.0,2352291428.0
total_assets,1816265027.0,2123900644.0,2168910961.0
total_debt,435706116.0,634845857.0,636211289.0
roa,0.16160388139214002,0.13431368355477555,0.1186577110022729
roe,0.21260626812903893,0.1915771813706946,0.1679115711326387
debt_ratio,0.23989126560437812,0.298905628562915,0.2933321378516469
current_ratio,2.814967717827491,2.4108127825428967,2.5055072089423422
gross_margin,0.5577053282692783,0.5407083652433289,0.525638988129663
net_profit_margin,0.12186980111666836,0.12389995817258462,0.10940736633930377
revenue_growth,0.0,-0.044020914387485455,0.021663385413990044
