,2022,2023,2024
cost_of_goods_sold,1702730970.0,1458021079.0,1490453517.0
current_assets,731630011.0,677158887.0,501012789.0
current_liabilities,541508001.0,516863125.0,369249273.0
equity,972276715.0,929073454.0,859212884.0
financial_profit,-8235729.0,-12499348.0,648851.0
gross_profit,363842810.0,280143720.0,219359094.0
net_income,21276032.0,-31144205.0,-69860569.0
other_profit,1474181.0,2701395.0,3526644.0
profit_before_tax,27272858.0,-31023998.0,-69860569.0
revenue,2066573780.0,1817969472.0,1800835668.0
total_assets,1521540206.0,1455319264.0,1239509793.0
total_debt,549263491.0,526245810.0,380296909.0
roa,0.013983220368479701,-0.02140025612964057,-0.05636144982034846
roe,0.021882692109930865,-0.033521789763675675,-0.08130763667645374
debt_ratio,0.36099176928355187,0.3616016244803862,0.30681234722604567
current_ratio,1.3510973238602249,1.310131936767592,1.3568416396042573
gross_margin,0.1760608856655483,0.15409704305529726,0.12180961200286489
net_profit_margin,0.010295316918227812,-0.017131313522958873,-0.03879341699045023
revenue_growth,0.0,-0.12029781390142291,-0.00942469291365522
