,2022,2023,2024
cost_of_goods_sold,143215316.0,181985494.0,293150943.0
current_assets,114877434.0,102138046.0,148190945.0
current_liabilities,91222139.0,89688062.0,110057599.0
equity,341951928.0,334555772.0,360116012.0
financial_profit,-16298024.0,-16857105.0,-12565642.0
gross_profit,39256975.0,45438764.0,90057106.0
net_income,-9361803.0,-7396156.0,25560240.0
other_profit,892.0,-12307.0,-98943.0
profit_before_tax,-9361803.0,-7387996.0,28490800.0
revenue,182472291.0,227424258.0,383208049.0
total_assets,697791820.0,671189410.0,693392368.0
total_debt,355839892.0,336633638.0,333276357.0
roa,-0.013416326663158649,-0.011019476603482167,0.03686259206129595
roe,-0.027377541208072967,-0.022107393203187657,0.07097779367833275
debt_ratio,0.5099513662971858,0.501547898379386,0.48064612819620767
current_ratio,1.2593152852949436,1.1388142827748915,1.3464853526379401
gross_margin,0.21513937696984362,0.19979734967410556,0.23500838835459847
net_profit_margin,-0.051305340381789806,-0.03252140323570936,0.06670068665494028
revenue_growth,0.0,0.2463495512313154,0.6849919721404565
