,2013,2014
current_assets,1983407139.0,589511676.0
current_liabilities,1517842.0,38372189.0
equity,-66259319.0,43911016.0
financial_profit,-203931320.0,109230339.0
net_income,-206218816.0,110170335.0
other_profit,-223337.0,0.0
profit_before_tax,-204702590.0,108654109.0
total_assets,2319508523.0,822283205.0
total_debt,2385767842.0,778372189.0
roa,-0.08890625490493186,0.13398101083677125
roe,3.1122990563787716,2.5089452496384963
debt_ratio,1.028566102837295,0.9465986709530325
current_ratio,1306.728328113203,15.362993130259001
