,2018,2019,2020,2021
cost_of_goods_sold,7110859.0,68796119.0,0.0,130110.0
current_assets,2579714.0,53983502.0,56649907.0,60590222.0
current_liabilities,13445589.0,4174527.0,4440985.0,2107254.0
equity,44015385.0,49839438.0,52213238.0,57482968.0
financial_profit,5204732.0,321.0,4201658.0,1633186.0
gross_profit,2373706.0,9391323.0,0.0,5027755.0
net_income,5741394.0,5824053.0,2373800.0,5269730.0
other_profit,-1694.0,-49818.0,-142252.0,-102431.0
profit_before_tax,6770104.0,7287415.0,3303197.0,6144267.0
total_assets,57460973.0,54013965.0,56654223.0,60590222.0
total_debt,13445589.0,4174527.0,4440985.0,3107254.0
roa,0.0999181479227649,0.10782494860356946,0.041899789182529255,0.08697327433459479
roe,0.13044061752498587,0.1168563136687055,0.045463566155387644,0.09167463308435987
debt_ratio,0.23399515006472307,0.07728606851950232,0.07838753697142753,0.0512830931697197
current_ratio,0.19186321997496725,12.931645189982003,12.756158149599695,28.75316501949931
