,2021,2022,2023
cost_of_goods_sold,242366719.0,284973205.0,270701424.0
current_assets,393899761.0,369280328.0,359926792.0
current_liabilities,57112905.0,43092761.0,51926647.0
equity,468583015.0,442366188.0,410768204.0
financial_profit,30447161.0,-21522985.0,39875208.0
gross_profit,95056106.0,102846870.0,104696730.0
net_income,90254478.0,52332262.0,87053668.0
other_profit,2611388.0,547993.0,-4172620.0
profit_before_tax,112233188.0,65279911.0,109899363.0
revenue,337422824.0,387820075.0,375398154.0
total_assets,531221432.0,491412664.0,469095957.0
total_debt,62638417.0,49046475.0,58327754.0
roa,0.16989991849575828,0.1064935151935767,0.1855775277977934
roe,0.19261150129395962,0.1183007730238189,0.21192893498640902
debt_ratio,0.11791394930014797,0.09980710427926619,0.12434077320346634
current_ratio,6.896860893348009,8.569428354799545,6.931446815736051
gross_margin,0.28171214049231,0.26519222863849945,0.27889516473221654
net_profit_margin,0.26748184052896196,0.1349395386507519,0.2318968995249774
revenue_growth,0.0,0.14935934209358637,-0.032030113448871855
