,2021,2022,2023
cost_of_goods_sold,11988312.0,7074696.0,9869265.0
current_assets,53388142.0,21183940.0,17998818.0
current_liabilities,63894652.0,16858050.0,19478371.0
equity,17417492.0,32099675.0,30353145.0
financial_profit,-1046520.0,138832.0,229555.0
gross_profit,4111847.0,2083517.0,2620717.0
net_income,-800662.0,-1275709.0,-866362.0
other_profit,233471.0,26809.0,58545.0
profit_before_tax,-800662.0,-1275709.0,-866362.0
revenue,16123567.0,9158213.0,12489982.0
total_assets,84725443.0,51809765.0,49831516.0
total_debt,67307951.0,19710090.0,19478371.0
roa,-0.009450077469645098,-0.02462294511469025,-0.01738582466565938
roe,-0.0459688455720261,-0.03974211576908489,-0.028542742440692718
debt_ratio,0.7944243029806288,0.38043195138985864,0.39088457593784626
current_ratio,0.8355651111457654,1.2566067842959299,0.9240412352757836
gross_margin,0.25502092682096955,0.2275025706434214,0.20982552256680595
net_profit_margin,-0.049657870370743644,-0.1392967165100877,-0.06936455152617514
revenue_growth,0.0,-0.4319983289057564,0.36380121318427516
