,2020,2021,2022,2023
current_assets,6427661280.0,7327979030.0,7466558160.0,7127718367.0
current_liabilities,1359013890.0,1459450470.0,1238465680.0,1437116673.0
equity,2017749270.0,2176703880.0,1807609620.0,2060260268.0
net_income,239146460.0,257482740.0,-347376220.0,252869257.0
profit_before_tax,294094550.0,328004140.0,-343573780.0,319758228.0
revenue,4734129120.0,4963702480.0,5152967380.0,4878341417.0
total_assets,7767255240.0,8564759560.0,8374884660.0,8218792122.0
total_debt,5746072810.0,6384509790.0,6563298420.0,6154474300.0
roa,0.03078905644408822,0.030063043591150154,-0.041478328849008886,0.03076720438312602
roe,0.11852139587194598,0.11829020123766215,-0.19217435897469942,0.12273655951511074
debt_ratio,0.7397816387452719,0.7454394656701839,0.7836882161909081,0.7488295370709949
current_ratio,4.729650908865986,5.0210535956043785,6.028877732001423,4.959735351285567
net_profit_margin,0.05051540715053416,0.05187312113033817,-0.06741285057387653,0.051835088072926486
revenue_growth,0.0,0.04849326120619213,0.038129783314490684,-0.05329472180745687
