,2020,2021,2022,2023
current_assets,8312170800.0,16568965940.0,14157693070.0,17174448617.0
current_liabilities,3733857120.0,9615482120.0,7487464950.0,9465772066.0
equity,4521486520.0,6541863250.0,6495468170.0,7371229508.0
financial_profit,-184764200.0,-342223490.0,-664901650.0,-716465014.0
net_income,768912290.0,1498718380.0,868978190.0,491904659.0
other_profit,621080.0,-267790.0,43696280.0,128411.0
revenue,1729591590.0,3707068720.0,3156242740.0,2472460543.0
total_assets,8382405130.0,16636264950.0,14242751320.0,17255134657.0
total_debt,3860918610.0,10094401700.0,7747283150.0,9883905148.0
roa,0.09172931611812946,0.09008743155416024,0.06101196113561014,0.028507726469723372
roe,0.17005741067652239,0.22909656205363205,0.13378222589304137,0.06673305429794793
debt_ratio,0.46059794893258754,0.606770914645718,0.5439456868927485,0.5728095053718015
current_ratio,2.226161990901248,1.7231549841413465,1.890852667029847,1.8143737771468962
net_profit_margin,0.44456292135416775,0.404286646188744,0.2753204558658248,0.19895349205578808
revenue_growth,0.0,1.1433202736606738,-0.14858801430581514,-0.21664436272097376
