,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.8325714486877436,2.8135546822490003,2.8105182168296308,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
current_assets,-0.17224931154879314,-0.13617885069215957,-0.12228603251515646,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
current_liabilities,-0.34328488839376403,-0.3406494728935985,-0.32948249153951353,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
equity,-0.20802265856135083,-0.17947915343928006,-0.18703376196423405,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
financial_profit,-0.39500772653304717,-0.40089126217288407,-0.40571616265842314,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
gross_profit,-0.28857946659959605,-0.28514161818743977,-0.2917511392628551,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
net_income,-0.37446283296410393,-0.3939430317062134,-0.39221998464563945,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
other_profit,-0.3895433162565975,-0.39638046157683593,-0.3948417159365956,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
profit_before_tax,-0.36896561781174797,-0.387698492977432,-0.3874890805421136,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
revenue,2.979507807754068,2.9902564469966117,2.9916149914737247,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
total_assets,-0.15507904655112623,-0.11635017860399656,-0.10896390447115381,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
total_debt,-0.34328488839376403,-0.3406494728935985,-0.32948249153951353,-0.26268393518439176,-0.2423368705322495,-0.2642112385313333
roa,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.16672161094216975,-0.20622872851363702,-0.20103565775951412
roe,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.139726741853422,-0.19606610184973539,-0.17866970369882731
debt_ratio,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.02926163943757765,-0.010575450009911253,0.05746834482731865
current_ratio,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,4.235209397707149,4.230660112484305,4.23131167035868
gross_margin,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.2287794875770632,-0.20545226731758953,-0.22229776456346464
net_profit_margin,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.2558287604998235,-0.23927900545907244,-0.25866179170883197
revenue_growth,-0.39622850040398866,-0.403778447728882,-0.4075523490325938,-0.26268393518439176,-0.4650161129473661,-0.2575802350793601
