,2023,2023
cost_of_goods_sold,2.6597504272553896,-0.33178578481064125
current_assets,0.49220238703644104,-0.33178578481064125
current_liabilities,0.08824899343043854,-0.33178578481064125
equity,-0.14082438330815758,-0.33178578481064125
financial_profit,-0.5515084028244811,-0.33178578481064125
gross_profit,-0.4171133379172138,-0.33178578481064125
net_income,-0.5297353072564707,-0.33178578481064125
other_profit,-0.5582151563507816,-0.33178578481064125
profit_before_tax,-0.5218340704134116,-0.33178578481064125
revenue,2.802493467342483,-0.33178578481064125
total_assets,0.5072809691350335,-0.33178578481064125
total_debt,0.08824899343043854,-0.33178578481064125
roa,-0.5598563685085297,-0.25709018054759275
roe,-0.5598563685085297,-0.1415605249684101
debt_ratio,-0.5598563685085297,1.2754159412853678
current_ratio,-0.5598563685085297,3.963968893537679
gross_margin,-0.5598563685085297,-0.2194399161363616
net_profit_margin,-0.5598563685085297,-0.3080790106323464
revenue_growth,-0.5598563685085297,-0.33178578481064125
