,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,1.8967928086896684,2.0404634537554274,2.1137317933049524,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
current_assets,1.0072494882420706,0.9100509905106748,0.8573935030652068,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
current_liabilities,0.6534942842463823,0.48354697715311273,0.4436752723780298,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
equity,0.1599355634200637,0.23234950589635517,0.23172795585837644,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
financial_profit,-0.6995232422447752,-0.6759070819549146,-0.6489147266674691,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
gross_profit,-0.3563566490071501,-0.37388806580649936,-0.4141817797804733,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
net_income,-0.596284987585289,-0.5634928444628203,-0.5577233684607388,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
other_profit,-0.7496741403952314,-0.7383892608667626,-0.7152256141388205,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
profit_before_tax,-0.5658824872537207,-0.5319611825846797,-0.529948990061621,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
revenue,2.2918583447777903,2.402977447858378,2.427727185971701,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
total_assets,1.564852028530711,1.4688977148274487,1.4244420346208746,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
total_debt,0.6534942842463823,0.5001667650404282,0.4645369106559337,-0.39876486609649225,-0.38888792056504223,-0.3871083561456142
roa,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,-0.17583916038546282,-0.14110897969619768,-0.13691959183416924
roe,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,0.16781512352230804,0.17516468256865578,0.17394827842980023
debt_ratio,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,1.6200417155609,1.3831154568494228,1.3635341180173852
current_ratio,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,3.767706922807836,3.8761367495249197,3.8879396967072184
gross_margin,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,0.033312322447925834,-0.023970293393679634,-0.07274800688857735
net_profit_margin,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,-0.22909366469910752,-0.2148322381824008,-0.21645643582759125
revenue_growth,-0.7514221850952718,-0.7364020599094496,-0.7281771681065646,-0.39876486609649225,-0.3878503308902135,-0.3539977848566964
