,2021,2022,2023,2024,2021,2022,2023,2024
cost_of_goods_sold,0.4627717913828439,-0.049527815952160444,0.29864521827722423,0.2804491024727955,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
current_assets,1.6665527257191068,1.7332144967169485,1.6909686586006483,1.8621150931766521,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
current_liabilities,1.14152287618498,1.2003445893344171,1.1682076350334176,1.3371503193067127,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
equity,0.48102479645854757,0.6409690509595419,0.5583000573885933,0.40092434990792347,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
financial_profit,-0.7241301629048953,-0.6462555695576129,-0.6987730281730505,-0.7046123582086619,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
gross_profit,-0.6319066648846376,-0.5902717323408314,-0.5709558876961293,-0.57729068161422,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
net_income,-0.6586034529012367,-0.6324917011745705,-0.6842269532556997,-0.6948634551335796,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
other_profit,-0.7020362566328044,-0.641713464661109,-0.6840068713672585,-0.6748423285264842,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
profit_before_tax,-0.6586034529012367,-0.6324917011745705,-0.6807289238742653,-0.6948634551335796,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
revenue,0.525580846932135,0.002474831284083452,0.4125180163950906,0.3874504234336938,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
total_assets,2.5682887616003276,2.6974565573368223,2.6134908112859936,2.3489834699260155,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
total_debt,1.3925482349843707,1.4142131162685694,1.3703620680834045,1.519443538418562,-0.34583531692678543,-0.2322971981121232,-0.4267897532556083,-0.36242809254342534
roa,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,-0.3103347544494773,-0.22367338331188918,-0.4262552862897279,-0.37348279214683283
roe,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,-0.24731145659035772,-0.2098531158770686,-0.42537168386918445,-0.3933269534813027
debt_ratio,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,1.7060725115937976,1.5805772084132876,1.3986583655096074,1.942045609279045
current_ratio,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,3.779073922654667,3.563216713556251,3.3292963521829164,3.633251133156561
gross_margin,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,-0.1807322963755274,0.00516132220987659,-0.1227809158894026,-0.04574647826754078
net_profit_margin,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,-0.25090880678489097,-0.18762677339909553,-0.4251832939564913,-0.3937154134044251
revenue_growth,-0.6947157204339287,-0.6422743795770753,-0.6848286858139956,-0.6842920025751184,-0.34583531692678543,-1.7402355942458836,1.7931135013795823,-0.019887994614401005
