,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,0.9200064786218534,0.9525073288005641,0.9562374059130352,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
current_assets,-0.43333905996914124,-0.38889383723881843,-0.3514722812796068,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
current_liabilities,-0.1562344765424482,-0.1607941598883409,-0.16311904289516121,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
equity,-0.2785197224113721,-0.2833500530180001,-0.28910838867068994,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
financial_profit,-0.557915271791832,-0.5591156984919207,-0.5616026904835373,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
gross_profit,-0.2636349152399069,-0.2654778461398023,-0.26080973245068256,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
net_income,-0.5540021410057591,-0.5576861162422534,-0.5682732459367434,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
other_profit,-0.5361950718984841,-0.5385990203107932,-0.5565194205101296,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
profit_before_tax,-0.5540021410057591,-0.5576861162422534,-0.5682732459367434,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
revenue,1.2108528406500665,1.2492503642221107,1.2570746341034393,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
total_assets,2.6801569881631857,2.6621310770111495,2.654939403612606,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
total_debt,2.4041954333064375,2.3832602484678005,2.382407643814661,-0.34377265828427295,-0.3733281613831146,-0.36048763119793553
roa,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,-0.34307448601377766,-0.3669393789189792,-0.3694217074263155
roe,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,-0.33558914611650204,-0.2994599717315514,-0.4659328348477701
debt_ratio,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,3.9674561067949203,3.7763988625780276,3.6048313653514383
current_ratio,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,1.0899742611998635,1.588070066101082,1.9242827600728925
gross_margin,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,0.43277121251430906,0.37081212329771734,0.35612542927515545
net_profit_margin,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,-0.34249339068326473,-0.361956364398162,-0.3762884413020362
revenue_growth,-0.5544812772681201,-0.5622208815613489,-0.5616401484686353,-0.34377265828427295,-0.22698740033076015,-0.34774499674813864
