,2022,2023,2024,2022,2023,2024
cost_of_goods_sold,2.556332714827684,2.495213517632992,2.534045081778632,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
current_assets,0.3447005945705024,0.4022373079878361,0.29560075250609646,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
current_liabilities,-0.18300383536061884,-0.1345442260042789,-0.19226925706195336,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
equity,0.2296923481316461,0.23317234572477424,0.18044431185420143,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
financial_profit,-0.5498228234523839,-0.5680249050583057,-0.542446027114736,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
gross_profit,-0.2091490676676109,-0.16487543997743556,-0.1194662517982997,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
net_income,-0.5460497961034524,-0.5628237179361002,-0.5402877535107118,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
other_profit,-0.5526843356087358,-0.5721311191650972,-0.550061999563369,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
profit_before_tax,-0.5434929112282465,-0.559579917465082,-0.5356751444783516,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
revenue,2.910401560290541,2.908590870145797,2.966338247808632,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
total_assets,0.6025384713169106,0.6721812213207147,0.5368630144839872,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
total_debt,-0.18119250717742286,-0.1345442260042789,-0.19226925706195336,-0.2788671824189151,-0.2854473808092592,-0.29511288518364026
roa,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,-0.2660865983515481,-0.2681236603160989,-0.2804440322789515
roe,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,-0.2600064619880273,-0.2586963302621644,-0.2732735177846867
debt_ratio,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,0.31761423989281007,0.42337870770818953,0.32728297138055357
current_ratio,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,4.2030201789840715,4.1852478836674205,4.195306738364918
gross_margin,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,-0.09466750580311009,-0.0493854256958114,-0.06363498179922554
net_profit_margin,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,-0.2746004812883002,-0.2792498331506546,-0.29058268067855086
revenue_growth,-0.5540386303626874,-0.5735531016002193,-0.5486879596917391,-0.2788671824189151,-0.3278027722397715,-0.07329987500037365
